"INXN","InterXion Holding N.V.","27.31","TECHNOLOGY"
"AVOL","Avolon Holdings Limited","30.21","TECHNOLOGY"
"CRL","Charles River Laboratories International, Inc.","70.56","HEALTH CARE"
"L","Loews Corporation","36.1","FINANCE"
"WDR","Waddell & Reed Financial, Inc.","37.01","FINANCE"
"ATEN","A10 Networks, Inc.","6.51","TECHNOLOGY"
"TEU","Box Ships Inc.","0.62","TRANSPORTATION"
"MMM","3M Company","140.81","HEALTH CARE","DOW"
"IMS","IMS Health Holdings, Inc.","30.77","TECHNOLOGY"
"FDS","FactSet Research Systems Inc.","165.17","TECHNOLOGY"
"DAL","Delta Air Lines, Inc.","46.89","TRANSPORTATION"
"RAD","Rite Aid Corporation","8.46","HEALTH CARE"
"ANTX","Anthem, Inc.","49.44","HEALTH CARE"
"WUBA","58.com Inc.","40.59","TECHNOLOGY"
"GHL","Greenhill & Co., Inc.","32.68","FINANCE"
"EXAR","Exar Corporation","5.92","TECHNOLOGY"
"AED","Aegon NV","25.42","FINANCE"
"CUDA","Barracuda Networks, Inc.","27.6","TECHNOLOGY"
"BSX","Boston Scientific Corporation","16.73","HEALTH CARE"
"RSE","Rouse Properties, Inc.","15.34","FINANCE"
"C^N","Citigroup Inc.","25.53","FINANCE"
"BX","The Blackstone Group L.P.","34.01","FINANCE"
"VMEM","Violin Memory, Inc.","1.87","TECHNOLOGY"
"RRTS","Roadrunner Transportation Systems, Inc","20.69","TRANSPORTATION"
"RDY","Dr. Reddy&#39;s Laboratories Ltd","60.89","HEALTH CARE"
"CFR","Cullen/Frost Bankers, Inc.","62.33","FINANCE"
"ZTS","Zoetis Inc.","44.47","HEALTH CARE"
"ACE","Ace Limited","100.21","FINANCE"
"LXFT","Luxoft Holding, Inc.","65.03","TECHNOLOGY"
"NM","Navios Maritime Holdings Inc.","2.6","TRANSPORTATION"
"FRO","Frontline Ltd.","2.6","TRANSPORTATION"
"HUBS","HubSpot, Inc.","47.35","TECHNOLOGY"
"DGX","Quest Diagnostics Incorporated","66.08","HEALTH CARE"
"FIT","Fitbit, Inc.","32","TECHNOLOGY"
"HCC","HCC Insurance Holdings, Inc.","77.7","FINANCE"
"DSX","Diana Shipping inc.","6.08","TRANSPORTATION"
"ENH","Endurance Specialty Holdings Ltd","62.18","FINANCE"
"BHE","Benchmark Electronics, Inc.","21.15","TECHNOLOGY"
"NMBL","Nimble Storage, Inc.","25.55","TECHNOLOGY"
"JBT","John Bean Technologies Corporation","37.36","TECHNOLOGY"
"KND","Kindred Healthcare, Inc.","19.56","HEALTH CARE"
"VR","Validus Holdings, Ltd.","44.43","FINANCE"
"AYR","Aircastle Limited","20.61","TECHNOLOGY"
"PMC","Pharmerica Corporation","32.76","HEALTH CARE"
"LOCK","LifeLock, Inc.","9.2","TECHNOLOGY"
"HSBC","HSBC Holdings plc","38.79","FINANCE"
"MBI","MBIA, Inc.","6.91","FINANCE"
"URI","United Rentals, Inc.","67.63","TECHNOLOGY"
"FCF","First Commonwealth Financial Corporation","9.04","FINANCE"
"CPA","Copa Holdings, S.A.","45","TRANSPORTATION"
"STJ","St. Jude Medical, Inc.","68.46","HEALTH CARE"
"ABBV","AbbVie Inc.","58.94","HEALTH CARE"
